1;6;0,000;370,000;19,000;1;7661,000;0,000;0,000;accepted;1,000;38,520;38,000;0,987;384,000;7680,000;2000001
2;15;0,000;370,000;52,000;3;7628,000;0,132;0,000;accepted;1,000;86,050;85,066;0,989;383,868;7680,000;1000002
3;21;0,000;370,000;70,000;4;7610,000;0,132;0,000;accepted;1,000;89,101;88,066;0,988;383,868;7680,000;1000003
4;30;0,198;369,802;102,000;7;7578,000;2,478;2,178;accepted;1,000;135,753;137,741;1,015;381,522;7677,822;3000004
5;38;0,198;369,802;128,000;9;7552,000;2,758;2,178;accepted;1,000;136,646;138,782;1,016;381,242;7677,822;2000005
